epoch,train_r²,validation_r²
1,-2939.513427734375,-3594.8125
2,0.0,-962.56689453125
3,0.0,-475.7727355957031
4,0.0,-439.05450439453125
5,0.0,-533.9691772460938
6,0.0,-622.8198852539062
7,0.0,-621.5050048828125
8,0.0,-565.5559692382812
9,0.0,-495.691162109375
10,0.0,-431.84161376953125
11,0.0,-367.475830078125
12,0.0,-316.4272766113281
13,0.0,-277.3844299316406
14,0.0,-243.3934326171875
15,0.0,-218.18099975585938
16,0.0,-154.53091430664062
17,0.0,-149.25027465820312
18,0.0,-142.6001434326172
19,0.0,-135.9066619873047
20,0.0,-125.34687805175781
21,0.0,-116.0284194946289
22,0.0,-106.89561462402344
23,0.0,-98.52794647216797
24,0.0,-90.36114501953125
25,0.33363431692123413,-83.2728500366211
26,0.0,-77.30203247070312
27,0.0,-71.66930389404297
28,0.0,-66.538330078125
29,0.0,-62.1176643371582
30,0.0,-57.87013626098633
31,0.0,-54.32273483276367
32,0.0,-50.86223220825195
33,0.0,-47.67151641845703
34,0.0,-44.55615234375
35,0.0,-41.86457824707031
36,0.0,-39.29607391357422
37,0.0,-37.10625076293945
38,0.0,-34.75090408325195
39,0.0,-32.851253509521484
40,0.0,-30.951650619506836
41,0.0,-29.161083221435547
42,0.0,-27.549222946166992
43,0.0,-26.095088958740234
44,0.0,-24.664852142333984
45,0.0,-23.35161018371582
46,0.0,-22.101505279541016
47,0.0,-20.83990478515625
48,0.0,-19.80179786682129
49,0.0,-18.745759963989258
50,0.9202022552490234,-17.756200790405273
