epoch,train_loss,validation_loss
1,1802.0511156793177,568.1450942646374
2,238.81048719417413,146.10412270372564
3,79.65300949367546,68.21079867536372
4,40.7990890931801,37.85580663247542
5,24.278850848858173,22.61358846317638
6,15.215849619645338,15.006372505968267
7,10.330652149471305,9.954754303802144
8,6.90612559911062,6.827453989874233
9,4.752835062128552,4.710759301754561
10,3.277187547034766,3.254943932999264
11,2.253923500783345,2.2357818985527214
12,1.5579652638124997,1.5195632935924963
13,1.0526398974057485,1.0217327341776004
14,0.7024769283963378,0.683556358245286
15,0.46113629436351844,0.4422037893567573
16,0.2993180325927114,0.28243180618367414
17,0.19182780658352305,0.17787658579816873
18,0.119599596834218,0.11301604743030938
19,0.07759255847546476,0.07474057604982094
20,0.053561354067022275,0.052835555620152845
21,0.03969378663590674,0.04104276544372128
22,0.03247417111677178,0.03443184953225269
23,0.028024166761814844,0.030431353106078776
24,0.025086742781719865,0.027782605029642582
25,0.022907213214233783,0.02587812567468394
26,0.02088567504890748,0.024554204936562615
27,0.0196450871013149,0.02318693399005993
28,0.017980137801337878,0.022061833487400276
29,0.01629467502500884,0.02121857059484517
30,0.014756592133870492,0.02048512474125759
31,0.013312852630094135,0.019932924674569884
32,0.012285850931113288,0.01954095813297582
33,0.011195437368225945,0.019314133609772067
34,0.010504510815767847,0.0191443775230172
35,0.00991903288433185,0.01923354510323737
36,0.009451817429056887,0.01916553172155876
37,0.00909807938343939,0.01934284996241331
38,0.00860237672142464,0.018922064151741903
39,0.00824244845294829,0.019049291321690278
40,0.007852601058252112,0.018910548099401323
41,0.0075654502718340184,0.01912538216989064
42,0.007484389372588791,0.019265881448518485
43,0.007171097689600297,0.020042613400040533
44,0.006893948423152668,0.019516866630345412
45,0.006680362532741925,0.019632472220109776
46,0.006540855728971535,0.020454081010856582
47,0.006412471940785029,0.019165257523788816
48,0.006315871114297026,0.01984554909127341
49,0.006237889283209951,0.019982438439249316
50,0.006031855978016582,0.019115909582152115
