epoch,train_mae,validation_mae
1,314.63201904296875,351.5210876464844
2,203.7151336669922,222.80494689941406
3,153.0359649658203,167.74948120117188
4,118.07469177246094,131.076904296875
5,93.31597137451172,104.1799087524414
6,73.144287109375,81.16458129882812
7,58.87196350097656,65.993896484375
8,42.138763427734375,47.40147018432617
9,29.95798110961914,33.88637161254883
10,21.87181854248047,24.66551971435547
11,16.88701057434082,19.17243766784668
12,13.61171817779541,15.50475788116455
13,11.388832092285156,12.95053768157959
14,10.03145694732666,11.452569007873535
15,8.703665733337402,9.947539329528809
16,7.815404891967773,8.94802474975586
17,7.301836967468262,8.423344612121582
18,6.519304275512695,7.476529598236084
19,5.8279876708984375,6.685930252075195
20,5.387822151184082,6.250858783721924
21,5.096558570861816,5.874241352081299
22,4.749852180480957,5.535058498382568
23,4.472715377807617,5.158977031707764
24,4.031768321990967,4.710085391998291
25,4.048738479614258,4.667586803436279
26,3.652940273284912,4.229626655578613
27,3.4696943759918213,4.019084453582764
28,3.292729139328003,3.8678946495056152
29,3.136967420578003,3.6957173347473145
30,2.97523832321167,3.433950424194336
31,2.792356491088867,3.3106844425201416
32,2.6681442260742188,3.162487745285034
33,2.478158950805664,2.9646377563476562
34,2.363945960998535,2.8394112586975098
35,2.3096203804016113,2.7334775924682617
36,2.2169196605682373,2.6977992057800293
37,2.1469743251800537,2.589329957962036
38,1.9670923948287964,2.362398386001587
39,1.8440766334533691,2.220261812210083
40,1.8057969808578491,2.129084348678589
41,1.701763391494751,2.041940450668335
42,1.6842443943023682,2.0259718894958496
43,1.677238941192627,2.0200250148773193
44,1.5269442796707153,1.849063515663147
45,1.480594515800476,1.7908390760421753
46,1.4352630376815796,1.7514561414718628
47,1.4217075109481812,1.7158936262130737
48,1.3459014892578125,1.6493738889694214
49,1.2330052852630615,1.5232572555541992
50,1.2232773303985596,1.471189260482788
