year,pred_len,train_id,save_dir,RMSE,MAE,R2,best_epoch,train_time_sec,total_params,status
2017,1,1,results/iTransformer/pl1/y2017/train1,1.5425794124603271,0.8814659118652344,0.9508563280105591,97,3993.81,776161,ok
2017,4,2,results/iTransformer/pl4/y2017/train2,1.9079763889312744,0.9323362708091736,0.9248493909835815,281,4009.91,776548,ok
2017,8,2,results/iTransformer/pl8/y2017/train2,2.110504388809204,1.2240138053894043,0.9080700278282166,107,4000.06,777064,ok
2017,24,2,results/iTransformer/pl24/y2017/train2,2.2691490650177,1.27570641040802,0.8936086893081665,103,3959.74,779128,ok
2018,1,1,results/iTransformer/pl1/y2018/train1,1.1024471521377563,0.5387926697731018,0.9771990180015564,241,3994.52,776161,ok
2018,4,1,results/iTransformer/pl4/y2018/train1,1.366188406944275,0.669316291809082,0.9649978876113892,267,3996.02,776548,ok
2018,8,1,results/iTransformer/pl8/y2018/train1,1.5179365873336792,0.71527099609375,0.9567998647689819,286,3978.0,777064,ok
2018,24,1,results/iTransformer/pl24/y2018/train1,1.6550862789154053,0.8375605344772339,0.9485632181167603,295,3939.47,779128,ok
2019,1,1,results/iTransformer/pl1/y2019/train1,1.3385149240493774,0.7665199637413025,0.9602280259132385,105,3973.48,776161,ok
2019,4,1,results/iTransformer/pl4/y2019/train1,1.679659366607666,0.8293502330780029,0.9373960494995117,266,4096.72,776548,ok
2019,8,1,results/iTransformer/pl8/y2019/train1,1.7863867282867432,0.9855639934539795,0.9292041659355164,96,4029.07,777064,ok
2019,24,1,results/iTransformer/pl24/y2019/train1,1.9142452478408813,1.0883147716522217,0.9182659983634949,98,3700.67,779128,ok
