batch,loss
1,347911.34375
2,213369.015625
3,133645.09375
4,72059.7578125
5,65750.9921875
6,79954.5
7,69918.4296875
8,73106.59375
9,69570.28125
10,54307.953125
11,64481.78515625
12,50247.171875
13,38405.2734375
14,31295.27734375
15,43416.5625
16,42074.5234375
17,40272.53125
18,50788.015625
19,43232.83203125
20,39391.9765625
21,35156.875
22,26994.78515625
23,40376.53125
24,27879.974609375
25,36045.53125
26,27824.30078125
27,23740.26171875
28,23006.0546875
29,19695.966796875
30,20504.765625
31,29836.62890625
32,22848.431640625
33,17391.125
34,20238.48828125
35,21715.84375
36,24879.6171875
37,16412.71484375
38,13660.888671875
39,15322.505859375
40,22014.51171875
41,19425.86328125
42,15790.4013671875
43,19011.22265625
44,16767.978515625
45,15944.7763671875
46,18643.931640625
47,14477.595703125
48,14622.416015625
49,10838.828125
50,13837.49609375
51,13456.72265625
52,10577.7919921875
53,11541.837890625
54,13685.69921875
55,18915.103515625
56,12972.833984375
57,14928.1171875
58,11361.6376953125
59,8093.55078125
60,12448.21484375
61,8601.3046875
62,13722.599609375
63,8978.263671875
64,11865.4453125
65,12183.142578125
66,8719.5
67,10444.986328125
68,9359.5
69,10538.884765625
70,7345.4462890625
71,10203.310546875
72,10680.498046875
73,12783.576171875
74,7493.0380859375
75,10630.7373046875
76,10884.9013671875
77,10837.732421875
78,8541.9814453125
79,5574.66259765625
80,10992.7578125
81,6273.0341796875
82,11938.1494140625
83,11220.8251953125
84,8211.318359375
85,8236.236328125
86,8243.9970703125
87,8477.2578125
88,6214.982421875
89,8103.138671875
90,9740.6455078125
91,8804.169921875
92,9946.9189453125
93,9147.3349609375
94,6829.107421875
95,8498.048828125
96,10282.734375
97,7350.36572265625
98,6233.708984375
99,7424.1728515625
100,8960.01953125
101,9210.2666015625
102,8684.5908203125
103,7892.9111328125
104,6854.5859375
105,5822.9501953125
106,6726.1376953125
